1.4988472663534e-07	1.4988472663534e-07	1.4988472663534e-07	1.4988472663534e-07	3.7252897433504e-07	3.7252897433504e-07	3.7252897433504e-07	3.7252897433504e-07
1.5076295723523e-07	1.5076295723523e-07	1.5076295723523e-07	1.5076295723523e-07	3.7471176020666e-07	3.7471176020666e-07	3.7471176020666e-07	3.7471176020666e-07
1.5164633371409e-07	1.5164633371409e-07	1.5164633371409e-07	1.5164633371409e-07	3.7690733582433e-07	3.7690733582433e-07	3.7690733582433e-07	3.7690733582433e-07
1.5253488622352e-07	1.5253488622352e-07	1.5253488622352e-07	1.5253488622352e-07	3.7911577612779e-07	3.7911577612779e-07	3.7911577612779e-07	3.7911577612779e-07
1.5342864509177e-07	1.5342864509177e-07	1.5342864509177e-07	1.5342864509177e-07	3.8133715649586e-07	3.8133715649586e-07	3.8133715649586e-07	3.8133715649586e-07
1.5432764082481e-07	1.5432764082481e-07	1.5432764082481e-07	1.5432764082481e-07	3.8357155274905e-07	3.8357155274905e-07	3.8357155274905e-07	3.8357155274905e-07
1.5523190410733e-07	1.5523190410733e-07	1.5523190410733e-07	1.5523190410733e-07	3.8581904115211e-07	3.8581904115211e-07	3.8581904115211e-07	3.8581904115211e-07
1.5614146580386e-07	1.5614146580386e-07	1.5614146580386e-07	1.5614146580386e-07	3.8807969841666e-07	3.8807969841666e-07	3.8807969841666e-07	3.8807969841666e-07
1.5705635695971e-07	1.5705635695971e-07	1.5705635695971e-07	1.5705635695971e-07	3.903536017038e-07	3.903536017038e-07	3.903536017038e-07	3.903536017038e-07
1.5797660880216e-07	1.5797660880216e-07	1.5797660880216e-07	1.5797660880216e-07	3.9264082862674e-07	3.9264082862674e-07	3.9264082862674e-07	3.9264082862674e-07
1.5890225274143e-07	1.5890225274143e-07	1.5890225274143e-07	1.5890225274143e-07	3.9494145725345e-07	3.9494145725345e-07	3.9494145725345e-07	3.9494145725345e-07
1.5983332037177e-07	1.5983332037177e-07	1.5983332037177e-07	1.5983332037177e-07	3.9725556610934e-07	3.9725556610934e-07	3.9725556610934e-07	3.9725556610934e-07
1.6076984347258e-07	1.6076984347258e-07	1.6076984347258e-07	1.6076984347258e-07	3.9958323417992e-07	3.9958323417992e-07	3.9958323417992e-07	3.9958323417992e-07
1.6171185400946e-07	1.6171185400946e-07	1.6171185400946e-07	1.6171185400946e-07	4.0192454091349e-07	4.0192454091349e-07	4.0192454091349e-07	4.0192454091349e-07
1.626593841353e-07	1.626593841353e-07	1.626593841353e-07	1.626593841353e-07	4.0427956622388e-07	4.0427956622388e-07	4.0427956622388e-07	4.0427956622388e-07
1.6361246619138e-07	1.6361246619138e-07	1.6361246619138e-07	1.6361246619138e-07	4.0664839049316e-07	4.0664839049316e-07	4.0664839049316e-07	4.0664839049316e-07
1.6457113270851e-07	1.6457113270851e-07	1.6457113270851e-07	1.6457113270851e-07	4.0903109457439e-07	4.0903109457439e-07	4.0903109457439e-07	4.0903109457439e-07
1.6553541640806e-07	1.6553541640806e-07	1.6553541640806e-07	1.6553541640806e-07	4.1142775979437e-07	4.1142775979437e-07	4.1142775979437e-07	4.1142775979437e-07
1.6650535020317e-07	1.6650535020317e-07	1.6650535020317e-07	1.6650535020317e-07	4.1383846795642e-07	4.1383846795642e-07	4.1383846795642e-07	4.1383846795642e-07
1.6748096719981e-07	1.6748096719981e-07	1.6748096719981e-07	1.6748096719981e-07	4.1626330134318e-07	4.1626330134318e-07	4.1626330134318e-07	4.1626330134318e-07
1.6846230069793e-07	1.6846230069793e-07	1.6846230069793e-07	1.6846230069793e-07	4.187023427194e-07	4.187023427194e-07	4.187023427194e-07	4.187023427194e-07
1.6944938419261e-07	1.6944938419261e-07	1.6944938419261e-07	1.6944938419261e-07	4.2115567533479e-07	4.2115567533479e-07	4.2115567533479e-07	4.2115567533479e-07
