0	0	0
0	0	0
0	0	0
0	0	0
0.59999999999999998	1	1.346153846153846
0.59999999999999998	1	1.346153846153846
0.59999999999999998	1	1.346153846153846
0.59999999999999998	1	1.346153846153846
1.2	2	2.6923076923076921
1.2	2	2.6923076923076921
1.7999999999999998	3	4.0384615384615383
2.3999999999999999	4	5.3846153846153841
3.5999999999999996	6	8.0769230769230766
4.1999999999999993	7	9.4230769230769216
5.9999999999999991	10	13.46153846153846
8.3999999999999986	14	18.846153846153843
11.399999999999999	19	25.576923076923073
14.999999999999998	25	33.653846153846153
20.399999999999999	34	45.769230769230766
28.199999999999999	47	63.269230769230766
38.399999999999999	64	86.153846153846146
52.802999999999997	88	118.46826923076922
70.203000000000003	117	157.50673076923078
88.802999999999997	148	199.23749999999998
108.003	180	242.31442307692308
126.003	210	282.69903846153846
141.60300000000001	236	317.69903846153846
154.803	258	347.31442307692305
165.00299999999999	275	370.19903846153841
172.803	288	387.69903846153846
178.803	298	401.16057692307692
182.40299999999999	304	409.23750000000001
184.203	307	413.27596153846156
184.203	307	413.27596153846156
183.60300000000001	306	411.92980769230769
182.40300000000002	304	409.23750000000007
180.00300000000001	300	403.85288461538465
177.60300000000001	296	398.46826923076924
174.60300000000001	291	391.73750000000001
171.00300000000001	285	383.66057692307697
167.40300000000002	279	375.58365384615388
163.80300000000003	273	367.50673076923084
160.20300000000003	267	359.42980769230775
156.60300000000004	261	351.35288461538471
152.40300000000005	254	341.9298076923078
148.80300000000005	248	333.85288461538477
145.20300000000006	242	325.77596153846167
141.60300000000007	236	317.69903846153863
138.00300000000007	230	309.62211538461554
134.40300000000008	224	301.5451923076925
131.40300000000008	219	294.81442307692328
127.80300000000008	213	286.73750000000018
124.80300000000008	208	280.00673076923096
121.20300000000009	202	271.92980769230792
118.20300000000009	197	265.19903846153863
115.20300000000009	192	258.46826923076941
112.20300000000009	187	251.73750000000021
109.20300000000009	182	245.00673076923096
106.80300000000008	178	239.62211538461557
103.80300000000008	173	232.89134615384634
101.40300000000008	169	227.50673076923096
98.403000000000077	164	220.7759615384617
96.003000000000071	160	215.39134615384631
93.603000000000065	156	210.00673076923093
91.20300000000006	152	204.62211538461551
88.803000000000054	148	199.23750000000013
86.403000000000048	144	193.85288461538474
84.603000000000051	141	189.81442307692319
82.203000000000046	137	184.4298076923078
80.403000000000048	134	180.39134615384626
78.003000000000043	130	175.00673076923087
76.203000000000046	127	170.96826923076932
73.80300000000004	123	165.58365384615394
72.003000000000043	120	161.54519230769242
70.203000000000046	117	157.50673076923087
68.403000000000048	114	153.46826923076935
