t,onset,imported,domestic,total,imported_delay
0,2020-03-08,0,0,0,0
1,2020-03-09,0.71245136330768344,0,0.71245136330768344,0
2,2020-03-10,0.97398890729750165,0,0.97398890729750165,0
3,2020-03-11,1,0.33153554435139743,1.3315355443513974,0
4,2020-03-12,1,0.82033562613581257,1.8203356261358126,0
5,2020-03-13,1,1.4885714082316643,2.4885714082316643,0
6,2020-03-14,1,2.4021123738899557,3.4021123738899557,0
7,2020-03-15,1,3.6510079060225467,4.6510079060225467,0
8,2020-03-16,1,5.3583631893780375,6.3583631893780375,0
9,2020-03-17,1,7.6924730414445932,8.6924730414445932,0
10,2020-03-18,1,10.883409316738593,11.883409316738593,0
11,2020-03-19,1,15.245696161216294,16.245696161216294,0
12,2020-03-20,1,21.20930679891957,22.20930679891957,0
13,2020-03-21,1,29.362034516572969,30.362034516572969,0
14,2020-03-22,1,40.507409279519123,41.507409279519123,0
15,2020-03-23,1,55.743859265419346,56.743859265419346,0
16,2020-03-24,1,76.572902316196149,77.572902316196149,0
17,2020-03-25,1,105.04699806059578,106.04699806059578,0
18,2020-03-26,1,143.97157137785595,144.97157137785595,0
19,2020-03-27,1,197.18100248409124,198.18100248409124,0
20,2020-03-28,1,269.91556687205639,270.91556687205639,0
21,2020-03-29,1,369.33606657502003,370.33606657502003,0
22,2020-03-30,1,505.22610705775037,506.22610705775037,0
23,2020-03-31,1,690.94979917356409,691.94979917356409,0
24,2020-04-01,1,944.75659046867099,945.75659046867099,0
25,2020-04-02,1,1291.5568110255456,1292.5568110255456,0
26,2020-04-03,1,1765.3335656041172,1766.3335656041172,0
27,2020-04-04,1,2412.4112301416885,2413.4112301416885,0
28,2020-04-05,1,3295.8702005174237,3296.8702005174237,0
29,2020-04-06,1,4501.4826376089677,4502.4826376089677,0
30,2020-04-07,1,6145.6423369723361,6146.6423369723361,0
31,2020-04-08,1,1106.3104385342183,1107.3104385342183,0
32,2020-04-09,1,996.37814692665029,997.37814692665029,0
33,2020-04-10,1,897.35982640600514,898.35982640600514,0
34,2020-04-11,1,808.17194224286436,809.17194224286436,0
35,2020-04-12,1,727.83853340353687,728.83853340353687,0
36,2020-04-13,1,655.48053255146908,656.48053255146908,0
37,2020-04-14,1,590.3061463474553,591.3061463474553,0
38,2020-04-15,1,531.60219079465082,532.60219079465082,0
39,2020-04-16,1,478.72628681850966,479.72628681850966,0
40,2020-04-17,1,431.09983068099962,432.09983068099962,0
41,2020-04-18,1,388.20166230482289,389.20166230482289,0
42,2020-04-19,1,349.56236221903532,350.56236221903532,0
43,2020-04-20,1,314.75911471551404,315.75911471551404,0
44,2020-04-21,1,283.41108100166588,284.41108100166588,0
45,2020-04-22,1,255.17523171542342,256.17523171542342,0
46,2020-04-23,1,229.74259319558914,230.74259319558914,0
47,2020-04-24,1,206.83486642851719,207.83486642851719,0
48,2020-04-25,1,186.2013816706181,187.2013816706181,0
49,2020-04-26,1,167.61635541964563,168.61635541964563,0
50,2020-04-27,1,150.8764197167076,151.8764197167076,0
